x	   E(x)	
14.476	  -17.19075
14.523	  -17.28688
14.570	  -17.38179
14.617	  -17.47629
14.664	  -17.56878
14.711	  -17.66006
14.758	  -17.75014
14.805	  -17.83901
14.852	  -17.92749
14.899	  -18.01398
14.946	  -18.09928
14.993	  -18.18339
15.040	  -18.26710
15.087	  -18.34886
15.134	  -18.42945
15.181	  -18.50886
15.228	  -18.58787
15.275	  -18.66496
15.322	  -18.74089
15.369	  -18.81567
15.416	  -18.89002
15.463	  -18.96251
15.510	  -19.03386
15.557	  -19.10406
15.604	  -19.17313
15.651	  -19.24178
15.698	  -19.30860
15.745	  -19.37430
15.792	  -19.43888
15.839	  -19.50301
15.886	  -19.56537
15.933	  -19.62662
15.980	  -19.68677
16.027	  -19.74645
16.074	  -19.80441
16.121	  -19.86129
16.168	  -19.91707
16.215	  -19.97236
16.262	  -20.02598
16.309	  -20.07853
16.356	  -20.13000
16.403	  -20.18041
16.450	  -20.23029
16.497	  -20.27858
16.544	  -20.32580
16.591	  -20.37196
16.638	  -20.41758
16.685	  -20.46165
16.732	  -20.50467
16.779	  -20.54665
16.826	  -20.58805
16.873	  -20.62796
16.920	  -20.66683
16.967	  -20.70467
17.014	  -20.74190
17.061	  -20.77769
17.108	  -20.81246
17.155	  -20.84620
17.202	  -20.87893
17.249	  -20.91102
17.296	  -20.94172
17.343	  -20.97142
17.390	  -21.00011
17.437	  -21.02811
17.484	  -21.05479
17.531	  -21.08047
17.578	  -21.10515
17.625	  -21.12910
17.672	  -21.15179
17.719	  -21.17349
17.766	  -21.19419
17.813	  -21.21390
17.860	  -21.23285
17.907	  -21.25059
17.954	  -21.26734
18.001	  -21.28310
18.048	  -21.29807
18.095	  -21.31187
18.142	  -21.32469
18.189	  -21.33653
18.236	  -21.34752
18.283	  -21.35741
18.330	  -21.36631
18.377	  -21.37424
18.424	  -21.38128
18.471	  -21.38726
18.518	  -21.39226
18.565	  -21.39629
18.612	  -21.39935
18.659	  -21.40146
18.706	  -21.40257
18.753	  -21.40271
18.800	  -21.40186
18.847	  -21.40003
18.894	  -21.39725
18.941	  -21.39349
18.988	  -21.38875
19.035	  -21.38298
19.082	  -21.37629
19.129	  -21.36863
19.176	  -21.36000
19.223	  -21.35026
19.270	  -21.33968
19.317	  -21.32811
19.364	  -21.31556
19.411	  -21.30202
19.458	  -21.28735
19.505	  -21.27186
19.552	  -21.25538
19.599	  -21.23791
19.646	  -21.21925
19.693	  -21.19981
19.740	  -21.17938
19.787	  -21.15796
19.834	  -21.13528
19.881	  -21.11188
19.928	  -21.08748
19.975	  -21.06207
20.022	  -21.03536
20.069	  -21.00795
20.116	  -20.97954
20.163	  -20.95012
20.210	  -20.91970
20.257	  -20.88790
20.304	  -20.85545
20.351	  -20.82198
20.398	  -20.78750
20.445	  -20.75158
20.492	  -20.71505
20.539	  -20.67749
20.586	  -20.63890
20.633	  -20.59883
20.680	  -20.55818
20.727	  -20.51648
20.774	  -20.47375
20.821	  -20.42947
20.868	  -20.38465
20.915	  -20.33877
20.962	  -20.29183
21.009	  -20.24384
21.056	  -20.19425
21.103	  -20.14414
21.150	  -20.09295
21.197	  -20.04070
21.244	  -19.98679
21.291	  -19.93239
21.338	  -19.87689
21.385	  -19.82032
21.432	  -19.76204
21.479	  -19.70328
21.526	  -19.64342
21.573	  -19.58247
21.620	  -19.51975
21.667	  -19.45659
21.714	  -19.39230
21.761	  -19.32690
21.808	  -19.26039
21.855	  -19.19206
21.902	  -19.12328
21.949	  -19.05338
21.996	  -18.98234
22.043	  -18.90944
22.090	  -18.83612
22.137	  -18.76164
22.184	  -18.68602
22.231	  -18.60849
22.278	  -18.53055
22.325	  -18.45144
22.372	  -18.37116
22.419	  -18.28894
22.466	  -18.20632
22.513	  -18.12252
22.560	  -18.03753
22.607	  -17.95135
22.654	  -17.86319
22.701	  -17.77463
22.748	  -17.68486
22.795	  -17.59390
22.842	  -17.50092
22.889	  -17.40754
22.936	  -17.31294
22.983	  -17.21713
23.030	  -17.11928
23.077	  -17.02103
23.124	  -16.92154
23.171	  -16.82082
23.218	  -16.71807
23.265	  -16.61489
23.312	  -16.51046
23.359	  -16.40480
23.406	  -16.29789
23.453	  -16.18894
23.500	  -16.07953
23.547	  -15.96888
23.594	  -15.85697
23.641	  -15.74303
23.688	  -15.62861
23.735	  -15.51294
23.782	  -15.39600
23.829	  -15.27705
23.876	  -15.15760
23.923	  -15.03688
23.970	  -14.91490
24.017	  -14.79166
24.064	  -14.66642
24.111	  -14.54065
24.158	  -14.41362
24.205	  -14.28533
24.252	  -14.15508
24.299	  -14.02427
24.346	  -13.89219
24.393	  -13.75885
24.440	  -13.62363
24.487	  -13.48778
24.534	  -13.35068
24.581	  -13.21233
24.628	  -13.07216
24.675	  -12.93132
24.722	  -12.78924
24.769	  -12.64593
24.816	  -12.50138
24.863	  -12.35509
24.910	  -12.20810
24.957	  -12.05988
25.004	  -11.91045
25.051	  -11.75938
25.098	  -11.60754
25.145	  -11.45451
25.192	  -11.30029
25.239	  -11.14454
25.286	  -10.98797
25.333	  -10.83024
25.380	  -10.67134
25.427	  -10.51105
25.474	  -10.34986
25.521	  -10.18756
25.568	  -10.02413
25.615	   -9.85959
25.662	   -9.69380
25.709	   -9.52708
25.756	   -9.35929
25.803	   -9.19043
25.850	   -9.02046
25.897	   -8.84952
25.944	   -8.67755
25.991	   -8.50457
26.038	   -8.33064
